Nr.|Sprecher/Regie|Text|Filmnr.
30|Regie|Camera zooms in through the mountain and focuses on Gandalf and the Balrog on the bridge of Khazad-dum. The Balrog strikes down on Gandalf with its flaming sword. Gandalf parries the blow with Glamdring, shattering the Balrog's sword.|2
32|Regie|Gandalf strikes his staff onto the bridge. As the Balrog steps forward, the bridge collapses from under it and the demon plunges backward into the chasm. Gandalf, exhausted, leans on his staff and watches the Balrog fall then turns to follow the others. At the last minute, the flaming whip lashes up from the depths of the abyss and winds around Gandalf's ankle, dragging him over the edge. He clings onto the bridge but is straining to keep his grip.|2
36|Regie|Frodo rushes forward but Boromir restrains him.|2
44|Regie|Gandalf loses his grip and falls into the chasm|2
48|Regie|Gandalf loses his grip and falls into the chasm|2
50|Regie|Calls after Gandalf as he falls into the abyss|2
52|Regie|Gandalf falls after the Balrog and grabs hold of his sword Glamdring on his way down. As they continue to plunge into the depths, Gandalf hacks away at the Balrog even as it thrashes and bounces off the walls. They continue to plunge at great speed, sometimes with Gandalf clinging to the horn of the demon. The battling pair then falls into an enormous cavern and plunges into the water. Just then Frodo awakens as if from a nightmare.|2
58|Regie|Lies back down.|2
60|Regie|Frodo and Sam climbs over the rocky terrain Emyn Muil. They look into the distance at the Mountain of Fire.|2
66|Regie|Suddenly Frodo feels and sees the Eye zooming in on him. He gasps and pants as he backs away.|2
70|Regie|Clutches the Ring by his chest and sits down, still panting. He then fumbles for his water bottle and takes a sip.|2
74|Regie|He takes out a package of lembas bread from his packHe digs deeper into his pack|2
76|Regie|Sam shows another package. He then breaks off a piece and tosses it to Frodo, and munches on a piece himself.|2
80|Regie|smiles|2
82|Regie|Sam smiles back, and then looks ominously towards Mordor.|2
86|Regie|They continue trekking through difficult terrain, often huddling underneath their cloaks.|2
88|Regie|Looks around|2
90|Regie|Exasperated|2
94|Regie|Drops to a whisper|2
96|Regie|NIGHTTIME Frodo and Sam are sleeping. A dark shape appears on top of the cliff. The creature Gollum has appeared and is making his way down to the hobbits.|2
98|Regie|Gollum creeps closer and closer.|2
100|Regie|Gollum reaches out his hand towards the hobbits. Suddenly the hobbits spring up, grab hold of Gollum's arms and pull him down. Amidst the struggle, Gollum wriggles loose and leaps onto Frodo. As Frodo falls back, the chain and Ring around his neck is revealed and Gollum jumps straight for the Ring. Sam tries to grab at him but is knocked away. Gollum now jumps on top of Frodo and tries to reach for the Ring even as Frodo grabs his hands and tries to push him away. Gollum's cheeks puff with exertion as he struggles with Frodo, his enormous eyes fixed on the Ring. Sam grabs hold of Gollum again and tears him away from Frodo. Gollum then turns around and bites Sam on the shoulder, wriggles around and clasps his arms around Sam's neck and legs around his waist in a death grip. Frodo unsheathes Sting and holds it to Gollum's throat.|2
102|Regie|menacingly|2
104|Regie|Slowly, Gollum loosens his grip on Sam and as the latter disentangles himself, Gollum wails. In the next scene, Gollum is being dragged with Sam's Elvish rope around his neck, wailing and writhing in pain.|2
110|Regie|Sam tugs fiercely at the rope. Gollum cries some more and collapses onto his back. Sam turns to Frodo in dismay.|2
120|Regie|Begging|2
130|Regie|Gollum backs away, frightened, and climbs onto a boulder|2
132|Regie|Sam jerks strongly at the rope as Gollum tries to get away from him. He crashes onto the ground, choking.|2
138|Regie|Gollum lies panting and holding his throat. He backs away, frightened, as Frodo approaches him.|2
142|Regie|nods warily|2
146|Regie|nods again|2
148|Regie|Frodo reaches out and takes the rope noose off Gollum's neck. Gollum seems surprised and relieved.|2
152|Regie|Gollum scrambles off in the direction of Morannon and the hobbits follow in his wake.|2
156|Regie|A band of Uruk-hai marches across the plain, with two hobbits bound to the backs of two Uruk-hai. Pippin tries to call to Merry, who is unconscious with a gash on his right brow.|2
158|Regie|He receives no response.|2
160|Regie|Suddenly, an Uruk-hai puts up his hand and signals a stop.|2
164|Regie|sniffs the air|2
166|Regie|quietly to himself|2
170|Regie|The Uruk-hai quicken their pace. Pippin struggles to reach his Elven brooch with his teeth. He then tears it off his cloak and drops it onto the ground. A foot stomps onto the brooch but it remains unbroken and visible on the grass.|2
172|Regie|Aragorn is lying with his eyes closed and ear pressed to the ground, listening for the sound of footsteps.|2
174|Regie|He looks up.He runs off.|2
176|Regie|Looks back at Gimli and then runs after Aragorn|2
178|Regie|pauses in his steps and huffsRuns after his companions.|2
180|Regie|The Three Hunters run across rocks and plains, with Aragorn in the lead, followed by Legolas and Gimli. From time to time, Legolas looks back to make sure that Gimli is keeping up. Aragorn suddenly bends down to pick up an Elven brooch from the ground.|2
184|Regie|stops and turns to Aragorn.|2
186|Regie|Runs off again|2
188|Regie|Gimli stumbles from behind some rocks and rolls to the ground|2
192|Regie|Panting|2
194|Regie|The trackers come over a hill and pause as they gaze across the plains below.|2
200|Regie|Legolas runs ahead and looks out to the horizon.|2
210|Regie|The tower of Orthanc stands amidst the smoking caverns of Isengard. Saruman stands in his chamber, communicating with the Dark Lord through the Palantir.|2
212|Regie|View changes to the tower of Barad-dur, with its huge Orc armies on a bridge.|2
214|Regie|Camera pans upwards along the height of the tower of Barad-dur until the flaming Eye is in view.|2
218|Regie|The trees around Isengard are being ripped down, chopped up and used to feed huge furnaces. The caverns of Isengard glow with the fires of industry, sounds of hammering fill the air and molten iron is poured into casts to forge weapons.|2
222|Regie|Saruman stands in the midst of a gathering of Dunlanders.|2
230|Regie|Roars with approval|2
232|Regie|They stomp off to destroy the villages of Rohan as Saruman stands coldly still among the stampede. A Rohan village is in pandemonium as people try to escape the on-coming pillage.|2
236|Regie|A woman with her hand on a horse calls out to her children.|2
240|Regie|As Morwen puts her onto the horse in front of her brother|2
246|Regie|starts to cry|2
250|Regie|A woman screams|2
254|Regie|The children ride off.|2
256|Regie|Looks after them|2
258|Regie|Dunlanders and Uruk-hai enter the village, burning everything in sights as the Rohirrim scream and run in all directions. Eothain and Freda weep as they look back from a distance.|2
262|Regie|A group of horsemen ride to Edoras. Eomer is in the lead, carrying a gravely wounded Theodred.|2
264|Regie|Eowyn runs hastily up the stairs to the Golden Hall and enters a bedchamber. She runs to the bed.|2
268|Regie|Theodred seems to hear her call but is unable to respond. He has a bloody gash on the side of his head. Eomer nods to Eowyn in the direction of Theodred's torso. Eowyn draws back the covers and upon seeing Theodred's fatal wound, her lips tighten and eyes close. She looks up to catch Eomer's eye.|2
270|Regie|Eomer and Eowyn are speaking to Theoden-king who sits motionless on his throne, wizened, and aged beyond his years.|2
276|Regie|Appears from the shadows.|2
278|Regie|mumbles feeblyGrima leans down close to the King.|2
280|Regie|He drops a helmet onto the ground, which topples over to reveal the white hand of Saruman.|2
286|Regie|Eomer grabs Grima and pins him against a pillar.|2
290|Regie|Grima's eyes flicks to right, watching Eowyn as she walks by. Eowyn stops to stare back for a moment before departing form the hall. Eomer jerks Grima again and clutches his hand around Grima's jaw.|2
294|Regie|Grima's eyes look to the left and relax as Eomer is suddenly pulled off Grima by his thugs.|2
296|Regie|The thugs punch Eomer n the stomach|2
302|Regie|Uruk-hai and Orcs continue to march across the plains with their hobbit captives, with Aragorn, Legolas, and Gimli hot on their pursuits.|2
308|Regie|They continue running over vast distances. The Uruk-hai and Orcs halt at nightfall, many panting with exertion.|2
314|Regie|As the Orcs and Uruk-hai take their rest, Pippin crawls over towards Merry.|2
318|Regie|opens his eyes|2
320|Regie|A group of Orcs chops down the trees nearby for firewood. Low groans and rumbles start to emerge from the forest.|2
324|Regie|looks towards the forest|2
336|Regie|His eyes rest on the hobbits.|2
342|Regie|Shoves at the Orcs|2
344|Regie|The other Orcs are getting restless.|2
348|Regie|Moves towards the hobbits with his blade drawn|2
352|Regie|Pippin and Merry recoil in fright. Ugluk jumps on the Orc and cuts off his head, which bounces off the hobbit's shoulders.|2
356|Regie|The Uruk-hai and Orcs cheer and started tearing into the fresh meat, intestines flying, taking their eyes off the hobbits for a while.|2
360|Regie|Their hands still bound, the hobbits try to crawl away. Suddenly a foot comes down on Merry and Pippin is turned onto his back.|2
362|Regie|Brandishing a blade in front of Pippin's face|2
364|Regie|Suddenly, a spear pierces the Orc's back. Mayhem ensues as Riders of Rohan burst out from their hiding places and ambush the Orcs.|2
366|Regie|Gestures for them to make their escape.|2
368|Regie|The hobbits try to escape from the pandemonium to the forest, dodging bodies and stomping feet. Suddenly Pippin turns onto his face and looks up to a pair of thrashing hooves bearing down on him.|2
374|Regie|The Three Hunters are still chasing after the Uruk-hai. It is dawn.|2
376|Regie|Pauses and looks up|2
378|Regie|Camera pans over the rock and plains, alternating between the band of Uruk-hai and the Three Hunters giving chase. The trackers hear the sound of horses. Aragorn and company hide behind some boulders. A large group of horse-men appears, galloping quickly with their banners flying. Aragorn comes out of hiding as they pass, followed by Legolas and Gimli.|2
382|Regie|At a signal from Eomer at the lead, the riders make a quick turn and head towards them, surrounding them in ever-tightening circles. As they stop, they point their long spears menacingly at them.|2
388|Regie|Eomer hands his staff to another rider, and gets off his horse. Aragorn puts a hand on Gimli's shoulder.|2
392|Regie|Legolas, in a lightning fast move, points an arrow at Eomer.|2
396|Regie|The riders all point their spears closer at the travellers. After a tense moment, Aragorn pushes down Legolas' arm.|2
400|Regie|Takes off helmet|2
402|Regie|The spears are withdrawn.|2
414|Regie|Points to a smoking pile in the distance.|2
418|Regie|nods|2
420|Regie|Legolas puts a hand on Gimli's shoulder in grief. Eomer turns and whistles.|2
424|Regie|Eomer puts on his helmet and gets back on his horse|2
426|Regie|To the riders|2
428|Regie|Aragorn, Legolas and Gimli look on as the Riders go off. They then ride towards the burning carcasses. Gimli starts to shift through the smoldering pile, and pulls out a charred belt and dagger sheath.|2
432|Regie|with his head bowed and eyes closed|2
434|Regie|Kicks a helmet and yellsHe falls to his knees.|2
438|Regie|Aragorn looks to the side as some tracks catch his attention.|2
440|Regie|Flashback: Pippin yells as he looks up at a pair of thrashing hooves bearing down on him. He rolls over, avoiding the hooves.|2
442|Regie|ARAGORN STARTS TO FOLLOW THE TRACKS, WITH LEGOLAS AND GIMLI BEHIND HIM.  Merry and Pippin crawl frantically away from the battle.|2
444|Regie|Flashback: Merry rubs his bonds furiously against the sharp edge of a weapon.Aragorn holds up a broken length of thick rope.|2
448|Regie|Their hands freed, the hobbits run away from the battle scene, dodging under a horse and trying to stay out of harms way. As they flee, Grishnak grabs Pippin by his belt and clings on.|2
452|Regie|Pippin undoes his belt and Grishnak is left holding it.|2
456|Regie|They break into a run and then stop|2
458|Regie|The Three looks up into a dense and dark forest|2
464|Regie|Scene moves from the trackers into the nighttime chase of Merry and Pippin. The hobbits run into the Fangorn, seeking to lose the pursuing Orc. They collapse onto the ground, out of breath.|2
466|Regie|Looks around|2
468|Regie|Suddenly, Grishnak appears from behind the trees, brandishing a blade.|2
472|Regie|Merry and Pippin run and hide behind a tree.|2
476|Regie|Pippin and Merry quickly scramble up a tree each.|2
478|Regie|Looks around and then sighs in relief.|2
480|Regie|Suddenly, Merry is pulled by his legs and falls to the ground. Grishnak leans over him with his menacing blade. Merry tries to kick him off but to no avail.|2
484|Regie|Pippin looks down in horror but as he turns his head, he spots a pair of gleaming yellow eyes blinking in the tree he's clinging to. The tree starts to move and groan.|2
490|Regie|Pippin loses his grip in fright and grabs at the air futilely as he falls. The tree catches him before he hits the ground.|2
492|Regie|Suddenly he senses something behind him and as he looks up, the tree stomps and squashes him onto the forest floor.|2
496|Regie|Merry tries to run away but is scooped by the tree.|2
498|Regie|Looks at the creatures in his hands|2
502|Regie|Stomps slowly through the forest.|2
516|Regie|Tightens his hold on the hobbits and squeezes them. Merry and Pippin whimpers in pain|2
526|Regie|Treebeard drops them on the ground and the hobbits look up at the White Wizard.|2
530|Regie|Following Gollum, Frodo and Sam reach the end of Emyn Muil and see that Mordor is now closer.|2
534|Regie|Gollum jumps on a rock. Frodo walks past, Gollum shrinks as Sam draws near.|2
536|Regie|Leaps after Frodo, putting a wide berth between him and Sam.|2
538|Regie|Sam's foot slipped into muck.|2
544|Regie|Gollum looks back and gestures for the hobbits to follow.|2
548|Regie|The marsh lands stretch for miles and miles as far as the eye can see. The hobbits and Gollum appear as little specks. As the three pick their way gingerly though the marshes, they see faces floating in the water, still, rotting and pale, and flickering flames on the swamps.|2
552|Regie|Turns to face the hobbits.|2
554|Regie|Sam's foot slips again into the water.|2
560|Regie|Frodo is drawn to one of the faces in Elven armour. He stares at it intently, until suddenly its eyes open and Frodo falls face-down into the water.|2
564|Regie|Frodo is in the water and sees many faces of the dead, no longer still but screaming and grasping, their rotten robes and hair flowing about their gruesome faces. Their hands are reaching for him. Suddenly he is grabbed from behind. Frodo sputters and gasps for air as Gollum pulls him out of the water.|2
566|Regie|Looks at Gollum in perplexed gratitude and disbelief.|2
568|Regie|Crawls away|2
570|Regie|Runs to Frodo's side.|2
572|Regie|Frodo lies panting, staring after Gollum|2
576|Regie|NIGHTFALL Sam is asleep but Frodo is still awake. He is holding the Ring in the palm of his hand and stroking it, mesmerized. Suddenly he hears Gollum.|2
578|Regie|Frodo quickly puts the Ring back inside his shirt. He looks up to see Gollum crouching away from him, stroking the centre of his palm|2
584|Regie|Moves over and crouches in front of Gollum|2
598|Regie|Looks up slowly.|2
604|Regie|Suddenly, the piercing cries of the Nazgul are heard overhead|2
614|Regie|Suddenly Frodo feels the pain of the Nazgul's sword piercing him and the call of the Ring. Images of the Ringwraiths come to him in flashes.|2
